Modèle,Threshold,Liens totaux,Pages Orphelines (nombre),Pages Orphelines (%),Densité du maillage,Accessibilité à 3 clics,Distribution PageRank,Efficacité du transfert,Ratio thématique,Score Global
ada2-t60,60,558,2,3.3,0.15 (+26.7%) ✅,91.8% (-8.2%) ⚠️,5.67,0.91,0.77,10.5
ada2-t80,80,558,2,3.3,0.15 (+26.7%) ✅,91.8% (-8.2%) ⚠️,5.67,0.91,0.79,10.5
ada2-t75,75,558,2,3.3,0.15 (+26.7%) ✅,91.8% (-8.2%) ⚠️,5.67,0.91,0.85,10.5
ada3-t60,60,557,2,3.3,0.15 (+26.5%) ✅,88.5% (-11.5%) ⚠️,5.65,0.91,0.88,10.4
camembert-t60,60,550,2,3.3,0.15 (+24.9%) ✅,90.2% (-9.8%) ⚠️,5.42,0.92,0.78,10.1
camembert-t75,75,535,2,3.3,0.15 (+21.5%) ✅,90.2% (-9.8%) ⚠️,5.43,0.92,0.69,9.2
minilm-t20,20,498,6,10.0,0.14 (+13.1%) ✅,86.9% (-13.1%) ⚠️,5.39,0.84,0.85,7.2
camembert-t80,80,462,2,3.3,0.13 (+4.9%) ✅,62.3% (-37.7%) ⚠️,5.44,0.90,0.70,5.2
cocon-t0,0,485,0,0.0,0.12 (+0.0%) ✅,100.0% (+0.0%) ⚠️,5.76,0.95,0.81,4.1
ada3-t75,75,437,5,8.3,0.12 (-0.7%) ✅,83.6% (-16.4%) ⚠️,5.66,0.87,0.76,3.9
ada3-t80,80,236,11,18.3,0.06 (-46.4%) ⚠️,73.8% (-26.2%) ⚠️,5.62,0.79,0.88,0.0
minilm-t60,60,15,47,78.3,0.00 (-96.6%) ⚠️,16.4% (-83.6%) ⚠️,5.40,0.09,0.67,0.0
minilm-t40,40,100,30,50.0,0.03 (-77.3%) ⚠️,27.9% (-72.1%) ⚠️,5.30,0.45,0.93,0.0
